,AbTest,ID,Property,Test Type,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
98,S_Test2,27,s3,3I,0,0,-1,0,0,0,0,0,66,0,0
101,S_Test2,28,s3,3I,0,0,-1,0,0,0,0,0,60,0,0
104,S_Test2,29,s3,3I,0,0,-1,0,0,0,0,0,66,0,0
110,S_Test2,30,s3,3I,0,0,-1,0,0,0,0,0,58,0,0
113,S_Test2,32,s3,3I,0,0,-1,0,0,0,0,0,62,0,0
116,S_Test2,33,s3,3I,0,0,-1,0,0,0,0,0,66,0,0
119,S_Test2,34,s3,3I,0,0,-1,0,0,0,0,0,61,0,0
122,S_Test2,35,s3,3I,9,0,-1,0,1,100,0,9,61,11,9
125,S_Test2,36,s3,3I,13,0,-1,0,1,100,0,13,60,21,9
128,S_Test2,37,s3,3I,23,0,-1,3,3,100,0,38,79,23,40
131,S_Test2,38,s3,3I,6,1,-1,0,1,100,0,8,61,5,6
134,S_Test2,39,s3,3I,8,0,-1,0,2,100,0,16,67,16,19
140,S_Test2,40,s3,3I,30,0,-1,2,1,100,5,31,83,28,25
143,S_Test2,41,s3,3I,0,0,-1,0,0,0,0,0,61,0,0
146,S_Test2,42,s3,3I,0,0,-1,0,0,0,0,0,58,0,0
149,S_Test2,43,s3,3I,0,0,-1,0,0,0,0,0,67,0,0
227,S_Test6,3,o,U,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
214,S_Test6,19,o,U,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
233,S_Test6,35,o,U,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
